"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"CQS (UK) LLP";"Aperam";"LU0569974404";"0,99";"2015-07-07 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,69";"2015-06-30 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,70";"2015-06-29 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,68";"2015-06-15 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,78";"2015-05-28 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,89";"2015-05-11 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,09";"2015-05-07 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,20";"2015-05-06 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,17";"2015-05-05 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,33";"2015-04-29 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,96";"2015-04-28 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,07";"2015-04-22 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,54";"2015-04-17 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,15";"2015-04-14 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,20";"2015-04-09 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,38";"2015-03-27 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,30";"2015-03-25 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,41";"2015-03-25 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,25";"2015-03-18 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,33";"2015-03-04 00:00:00"
"CQS (UK) LLP";"Aperam";"LU0569974404";"1,33";"2015-02-26 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,27";"2015-02-18 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3,30";"2015-02-13 00:00:00"
