
Importing updates of last 70 months into SourceData : XBRU.db.
Checking updates from 20120202 and adding to XBRU.db...

('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130210', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130211', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130212', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130213', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130214', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130215', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130216', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130217', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130218', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130219', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130220', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130221', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130222', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130223', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130224', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130225', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130226', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130227', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130228', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130301', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130302', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130303', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130304', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130305', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130306', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130307', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130308', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130309', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130310', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130311', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130312', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130313', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130314', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130315', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130316', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130317', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130318', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130319', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130320', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130321', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130322', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130323', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130324', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130325', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130326', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130327', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130328', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130329', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130330', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130331', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130401', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130402', 'XBRU', '20171202_19h20')
