Extracting raw source data: XBRU
Checking updates from 20120501 and adding to XBRU.db...

('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151018', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151019', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151020', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151021', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151022', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151023', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151024', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151025', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151026', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151027', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151028', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.62, '20151029', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.79, '20151030', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.79, '20151031', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.79, '20151101', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.79, '20151102', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.79, '20151103', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.79, '20151104', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.79, '20151105', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.79, '20151106', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.79, '20151107', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.79, '20151108', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.79, '20151109', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.79, '20151110', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.79, '20151111', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.79, '20151112', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.79, '20151113', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.79, '20151114', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.79, '20151115', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.79, '20151116', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.79, '20151117', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.79, '20151118', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.79, '20151119', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.89, '20151120', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.89, '20151121', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.89, '20151122', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.89, '20151123', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.89, '20151124', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.89, '20151125', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.89, '20151126', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.89, '20151127', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.89, '20151128', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.89, '20151129', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.89, '20151130', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.67, '20151201', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.67, '20151202', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.67, '20151203', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.67, '20151204', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.67, '20151205', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.67, '20151206', 'XBRU', '20170501_16h35')
